date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:38	66472/66472	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Sep%202020%2005:39:22%20GMT	http://ardventures.in/kriti/kriti/assets/img/Free-Demo.png	D:/KRITI/ardventures.in/kriti/kriti/assets/img/Free-Demo.png	(from http://ardventures.in/kriti/kriti/watch.php?class=12&sub=Accounts)
11:56:38	11679/11679	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:37%20GMT	http://ardventures.in/kriti/kriti/account.php?id=4	D:/KRITI/ardventures.in/kriti/kriti/accountdcfd.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Accounts)
11:56:39	11713/11713	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:38%20GMT	http://ardventures.in/kriti/kriti/account.php?id=5	D:/KRITI/ardventures.in/kriti/kriti/accountd61c.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Accounts)
11:56:39	11705/11705	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:38%20GMT	http://ardventures.in/kriti/kriti/account.php?id=6	D:/KRITI/ardventures.in/kriti/kriti/account3a9f.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Accounts)
11:56:40	11707/11707	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:39%20GMT	http://ardventures.in/kriti/kriti/account.php?id=7	D:/KRITI/ardventures.in/kriti/kriti/account8803.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Business%20Studies)
11:56:40	11712/11712	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:40%20GMT	http://ardventures.in/kriti/kriti/account.php?id=8	D:/KRITI/ardventures.in/kriti/kriti/accountc3c9.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Business%20Studies)
11:56:41	11713/11713	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:40%20GMT	http://ardventures.in/kriti/kriti/account.php?id=9	D:/KRITI/ardventures.in/kriti/kriti/account5255.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Business%20Studies)
11:56:41	158355/158355	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Aug%202020%2016:20:16%20GMT	http://ardventures.in/kriti/kriti/assets/img/123.jpg	D:/KRITI/ardventures.in/kriti/kriti/assets/img/123.jpg	(from http://ardventures.in/kriti/kriti/about.php)
11:56:42	11704/11704	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:41%20GMT	http://ardventures.in/kriti/kriti/account.php?id=10	D:/KRITI/ardventures.in/kriti/kriti/accountf41b.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Economics)
11:56:42	11702/11702	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:41%20GMT	http://ardventures.in/kriti/kriti/account.php?id=11	D:/KRITI/ardventures.in/kriti/kriti/account0055.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Economics)
11:56:43	11706/11706	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Sep%202020%2006:26:42%20GMT	http://ardventures.in/kriti/kriti/account.php?id=12	D:/KRITI/ardventures.in/kriti/kriti/account4ef9.html	(from http://ardventures.in/kriti/kriti/watch.php?class=11&sub=Economics)
